party,party_display_name,display_name,political_position,ideology,wikipedia_url
Party of Freedom and Justice,Party of Freedom and Justice,,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Party_of_Freedom_and_Justice
Healthy Serbia,Healthy Serbia,,Right-wing,Populism National conservatism,https://en.wikipedia.org/wiki/Healthy_Serbia
Don't Let Belgrade Drown,Don't Let Belgrade Drown,,Left-wing,Green politics Social democracy Left-wing populism Progressivism,https://en.wikipedia.org/wiki/Do_not_let_Belgrade_drown
Together for Serbia,Together for Serbia,,Centre-left,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Together_for_Serbia
Together,Together,,Left-wing,Green politics Regionalism,https://en.wikipedia.org/wiki/Together_(Serbia)
Serbia Centre,Serbia Centre,,Centre,Pro-Europeanism,https://en.wikipedia.org/wiki/Serbia_Centre
Ecological Uprising,Ecological Uprising,,,Green politics Pro-Europeanism,https://en.wikipedia.org/wiki/Ecological_Uprising
People's Movement of Serbia,People's Movement of Serbia,,Centre-right,Anti-corruption Conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/People%27s_Movement_of_Serbia
National Gathering,National Gathering,,Far-right,Ultranationalism Ultraconservatism,https://en.wikipedia.org/wiki/National_Gathering_(Serbia)
Serbia Against Violence,Serbia Against Violence,,Big tent,Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Serbia_Against_Violence_(coalition)
Green-Left Front,Green-Left Front,,Left-wing,Green politics Progressivism Pro-Europeanism,https://en.wikipedia.org/wiki/Green%E2%80%93Left_Front
Kreni-Promeni,Kreni-Promeni,,Centre-right,Localism Environmentalism Animal rights Animal welfare,https://en.wikipedia.org/wiki/Kreni-Promeni
We - Power of the People,We - Power of the People,,Right-wing,Nationalism Populism Conspiracy theorism,https://en.wikipedia.org/wiki/We_%E2%80%93_Power_of_the_People
Democratic Party of Serbia,New Democratic Party of Serbia,,Right-wing,National conservatism,https://en.wikipedia.org/wiki/Democratic_Party_of_Serbia
Aleksandar Vučić — For Our Children,Serbia Must Not Stop,,Big tent,Populism,https://en.wikipedia.org/wiki/Aleksandar_Vu%C4%8Di%C4%87_%E2%80%94_For_Our_Children
Serbian protests,Serbian protests,,,,
Together We Can Do Everything,Serbia Must Not Stop,,Big tent,Populism,https://en.wikipedia.org/wiki/Together_We_Can_Do_Everything
Aleksandar Vučić,Aleksandar Vučić,,,,
Zdravko Ponoš,Zdravko Ponoš,,,,
Miloš Jovanović,Miloš Jovanović,,,,
Branka Stamenković,Branka Stamenković,,,,
Boško Obradović,Boško Obradović,,,,
Milica Đurđević,Milica Đurđević,,,,
Miša Vacić,Miša Vacić,,,,
Do not let Belgrade drown,Don't Let Belgrade Drown,,Left-wing,Green politics Social democracy Left-wing populism Progressivism,https://en.wikipedia.org/wiki/Do_not_let_Belgrade_drown
POKS,Movement for the Restoration of the Kingdom of Serbia,,Right-wing,National conservatism Monarchism,https://en.wikipedia.org/wiki/POKS
Saša Janković,Saša Janković,,,,
Vuk Jeremić,Vuk Jeremić,,,,
Ljubiša Preletačević,Ljubiša Preletačević,,,,
Vojislav Šešelj,Vojislav Šešelj,,,,
Green–Left Front,Green-Left Front,,Left-wing,Green politics Progressivism Pro-Europeanism,https://en.wikipedia.org/wiki/Green%E2%80%93Left_Front
We – Power of the People,We - Power of the People,,Right-wing,Nationalism Populism Conspiracy theorism,https://en.wikipedia.org/wiki/We_%E2%80%93_Power_of_the_People
Student list?action=edit&redlink=1,Student list?action=edit&redlink=1,,,,
