party,party_display_name,display_name,political_position,ideology,wikipedia_url
"Morality, Unity, Honour","Morality, Unity, Honour",,Far-right,Bulgarian nationalism Populism Social conservatism Euroscepticism,"https://en.wikipedia.org/wiki/Morality,_Unity,_Honour"
Alliance for Rights and Freedoms,Alliance for Rights and Freedoms,,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/Alliance_for_Rights_and_Freedoms
DPS - New Beginning,DPS - New Beginning,,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/DPS_%E2%80%93_New_Beginning
There Is Such A People,There is Such a People,,Right-wing,Populism Social conservatism Bulgarian nationalism,https://en.wikipedia.org/wiki/There_Is_Such_A_People
"Stand Up! Mafia, Get Out!",Stand Up.BG! We are coming!,,Centre to left-wing,Anti-corruption Pro-Europeanism Factions Social democracy Social liberalism Liberal conservatism,"https://en.wikipedia.org/wiki/Stand_Up!_Mafia,_Get_Out!"
There Is Such a People,There is Such a People,,Right-wing,Populism Social conservatism Bulgarian nationalism,https://en.wikipedia.org/wiki/There_Is_Such_a_People
BSP for Bulgaria,BSP - United Left,,Centre-left,Social democracy Democratic socialism Left-wing populism Left-conservatism,https://en.wikipedia.org/wiki/BSP_for_Bulgaria
VMRO – Bulgarian National Movement,VMRO - Bulgarian National Movement,,Far-right,National conservatism Bulgarian nationalism Social conservatism Right-wing populism Soft Euroscepticism Anti-Islam Antiziganism,https://en.wikipedia.org/wiki/VMRO_%E2%80%93_Bulgarian_National_Movement
National Front for the Salvation of Bulgaria,Conservative Bulgaria,,Right-wing,Bulgarian nationalism National conservatism Euroscepticism,https://en.wikipedia.org/wiki/National_Front_for_the_Salvation_of_Bulgaria
GERB—SDS,GERB-SDS,,Centre-right to right-wing,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB%E2%80%94SDS
PP–DB,We Continue the Change - Democratic Bulgaria,,Centre to centre-right,Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/PP%E2%80%93DB
IMRO – Bulgarian National Movement,VMRO - Bulgarian National Movement,,Far-right,National conservatism Bulgarian nationalism Social conservatism Right-wing populism Soft Euroscepticism Anti-Islam Antiziganism,https://en.wikipedia.org/wiki/IMRO_%E2%80%93_Bulgarian_National_Movement
GERB–SDS,GERB-SDS,,Centre-right to right-wing,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB%E2%80%93SDS
DPS – A New Beginning,DPS - New Beginning,,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/DPS_%E2%80%93_A_New_Beginning
BSP – United Left,BSP - United Left,,Centre-left,Social democracy Democratic socialism Left-wing populism Left-conservatism,https://en.wikipedia.org/wiki/BSP_%E2%80%93_United_Left
DPS – New Beginning,DPS - New Beginning,,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/DPS_%E2%80%93_New_Beginning
Progressive Bulgaria,Progressive Bulgaria,,Centre-left,,https://en.wikipedia.org/wiki/Progressive_Bulgaria
/w/index.php?title=Siyanie&action=edit&redlink=1,/w/index.php?title=Siyanie&action=edit&redlink=1,,,,
Siyanie,Siyanie,,,,
History of Bulgaria,History of Bulgaria,,,,
Template:Bulgaria topics,Template:Bulgaria topics,,,,
Odrysian kingdom,Odrysian kingdom,,,,
